,dateTime,content,y
0,2021-03-19 06:23:29+00:00,@DietPravda Lol. You should worry about lack of transport and piles of garbage that will lead to malaria and dengue outbreaks. :) good luck.  Pro tip - get a ups back up for your house.,0
1,2021-03-19 06:05:26+00:00,"#waterhyacinth (also native to #SouthAmerica) helps reduce the likelihood of a disease outbreak, preventing a public health emergency.   #aquaticIPM #aquaticplantmanagement  #mosquitoes #mosquitocontrol #fighthebite #zika #zikavirus #dengue #denguefever #preventthespread",0
2,2021-03-18 20:00:42+00:00,"A new study from Kenya has found flooding boosts Aedes aegypti mosquito populations, so w/ a changing climate expected to bring greater rainfall events this could mean more outbreaks of diseases such as dengue, @MalavikaVy reports: https://t.co/QqTcap8qT3",0
3,2021-03-18 18:33:18+00:00,"New in PLOS Neglected Tropical Diseases: ""Flooding boosts Aedes aegypti #mosquito populations ... this could mean more outbreaks of mosquito-borne disease such as dengue in the coming years.""  https://t.co/sj7okhLB3K https://t.co/NOuxTSCVeU",0
4,2021-03-18 10:16:21+00:00,@j9900j @thebokettogirl Andhra by extension Telangana has underfunded public healthcare. Hence YSR bought out insurance scheme so that poor could seek treatment in private hospitals. Heck it was year before last that it took death of HC judge for Telangana govt to admit there was dengue outbreak,0
5,2021-03-17 23:02:12+00:00,@societyofhonor A year into the pandemic + yearly outbreaks of dengue fever you'd think there should have already been some local capacity to develop and manufacture vaccines. 🤦‍♂️,0
6,2021-03-17 22:01:33+00:00,#Paraguay: #Dengue cases continue to increase https://t.co/OHPRH2dQCo,1
7,2021-03-17 19:12:59+00:00,What I hate about our barangay is that when there are concerns hindi nila agad inaaksyunan. Hindi na ako magugulat kung magkakaroon ng dengue outbreak dito sa looban namen sa dami ng lamok. Nung mga nakaraang buwan lang wala namang masyadong lamok nakapagpa-fogging. +++,0
8,2021-03-17 15:27:49+00:00,"@Anddisu @danileras1 @Emerson52107064 @muitohumilllde After 82 years of the absence of dengue in Argentina, a dengue outbreak occurred in the northernprovinces of the country in 1998. Aedes aegypti, the vector mosquito, was eradicated in the 1960s   boa meu mano olha aí como era super comum",1
9,2021-03-17 08:42:52+00:00,"@PMOIndia for any disease u need to treat ment, tomorrow if malaria nd dengue fevers outbreak occurs,u will ask people to be in mosquito curtain...how ridiculous... lockdown is not a solution..eye wash only",0
10,2021-03-16 18:08:12+00:00,"@yrdefender @DrTomFrieden @JoycePerkins To be accurate historically, Cuban engineers worked out large scale manufacturing in the early 1980s. That followed their dengue outbreak of 1977.  When SARS-1 hit in 2002 China had IFN-A-2B. Also aimed first at dengue.  Cuban engineers build their Changheber project.",0
11,2021-03-16 12:29:35+00:00,"We combined case, serological and sequence data to model these dynamics. We showed that because of temperature variation, a small change in the timing of the outbreak could produce a large brief outbreak (eg dengue in 2013) or a longer low-level outbreak (eg Zika) https://t.co/mGFwzRSqEJ",0
12,2021-03-15 15:20:28+00:00,@umanathtrip @PankajSinghBJP @CeoNoida @PankajSinghBJP  Ji and  @CeoNoida Sports City land in Sector 79 Noida has become breeding ground for mosquitoes due to water accumulated from nearby broken drain. Please proactively look into it before dengue out break. Humble Request 🙏🏻,1
13,2021-03-15 13:03:51+00:00,khalsaaid_india: Fogging drives have become absolutely essential as the mosquitoes are increasing across Tikri border which could lead to outbreak of malaria/dengue. Keep following us for regular updates! #farmersprotest #supportfarmers… https://t.co/TdlBCFWQ3u,1
14,2021-03-15 12:43:30+00:00,Fogging drives have become absolutely essential as the mosquitoes are increasing across Tikri border which could lead to outbreak of malaria/dengue. Keep following us for regular updates! #farmersprotest #supportfarmers #foggingdrives #khalsaaidindia https://t.co/HRIBat0b0K,0
15,2021-03-15 09:30:00+00:00,"The Sabah Health Department will be fogging four areas today (Monday) in its effort to control the dengue outbreak in Sabah. Fogging will take place in Taman Ridgeview Phase 9, Taman Sri Kepayan and Taman Selesa at 4.30pm. https://t.co/TM65x45Mxo",1
16,2021-03-14 19:45:03+00:00,@luiz_cerveira Yes.  Worldwide.  It hit USA badly and caused 500k extra total deaths.  Weird we had a dengue fever outbreak worldwide 🤔 https://t.co/6VQPgkPwXp,1
17,2021-03-14 18:00:08+00:00,"@CMOfficeUP @Lucknow2019 @SwachhLMC  Respected authorities - Need your attention. Open drains ,breeding ground for mosquitos. Malaria and dengue outbreaks are common , routine cleaning or a proper drain coverage would be appreciated. Garhi kanaura Ambedkar nagar ward 2 https://t.co/gLUB1MgVB0",1
18,2021-03-14 15:21:34+00:00,New Research: Landscape of Monoclonal Antibodies Targeting Zika and Dengue: Therapeutic Solutions and Critical Insights for Vaccine Development: The unprecedented 2015–2016 Zika outbreak in the Americas sparked global concern and drove the… https://t.co/JIMLNypOcw #immunology,0
19,2021-03-14 08:43:05+00:00,"@ramellus that no one wants to get vaccinated anymore. We've had dengue outbreaks, measles, chickenpox outbreaks. And suddenly the same politicians who went to war over Dengvaxia now insist that everyone get Sinovac despite safety concerns (while they make money off the deals to get it).",0
20,2021-03-13 15:27:59+00:00,"@KhiaJosina As a Med students I had to continue my rotations while there were local outbreaks of infectious disease.( Dengue/ Lepto). All dorms were converted into admission spaces. We had a defined role everyday to see patients in these spaces, we were protectedAnd supported. Viva 🇨🇺 !",0
21,2021-03-12 20:37:56+00:00,PAHO Donates Needed Dengue Equipment - The Ministry of Health recently received a donation of equipment and supplies from the Pan American Health Organisation PAHO to assist the country amidst the recent outbreak of Dengue Fever last year. https://t.co/tI67xrjKQY,0
22,2021-03-12 17:16:33+00:00,"@PMCPune People have been complaining about mosquitos in the Aundh Road, Bopodi area for weeks. Will any one bother to act? Or do you want to wait until a malaria or dengue outbreak?!",1
23,2021-03-12 05:42:23+00:00,"I don’t mean to be ignorant but most people gathering and mourning are doing it in prayer and reverence. Even observing the weather over the past few days, God has his hand on PNG during this time. No doubt about that. Also why can’t we focus on the dengue outbreak too",0
24,2021-03-12 00:28:27+00:00,@YaniqueJLambert 😂. Fun and joke aside the last thing we need is a dengue outbreak on top of everything else.,0
25,2021-03-11 22:44:03+00:00,"@NoonanJoe Countries routinely dealing with Malaria, Lassa Fever, Ebola, Dengue Fever, Cholera, Chikungunya &amp; other outbreaks need efficient #HMIS #HeRAMS systems, supported by @WHO, @UNICEF, @Concern &amp; health donors. Protects lives #rtept @HSELive @roinnslainte @hpscireland @CMOIreland @UN",0
26,2021-03-11 11:57:25+00:00,#DataVisualization #barchartrace #Python #DataScience #epidemiology #dengue #vectorborne #Outbreak #arboviral #ResearchHighlight   Opensource data Graphical rights reserved https://t.co/Y1nbrWvTpV,0
27,2021-03-11 11:23:50+00:00,ginagawa yan ng hospitals kahit di nyo sabihin especially kapag may outbreaks (like dengue) pero ngina just so u know nagkukulang sa hospital staff. https://t.co/qyJn2CEDDt,0
28,2021-03-11 10:49:23+00:00,Grabe dengue outbreak dito. :&lt;,0
29,2021-03-10 13:11:09+00:00,"Brazil's Hospital da Restauração sprung into action when Zika broke out 2014/5, as Dr. Maria Lucia Brito Ferreira explains: neurological diseases were on the rise at a higher rate than with the dengue outbreaks of previous years, calling attention to the severity of the epidemic",1
30,2021-03-10 05:49:49+00:00,"Raila Odinga might have dengue fever,  looks like there is an outbreak in Coast.  Quick recovery Baba. https://t.co/v1BtX6yGSk",1
31,2021-03-10 01:45:48+00:00,"On a personal note, thank you @Sanju_Verma_  for bringing up 2016 Dengue outbreak in Delhi and Kejriwal govt's total apathy. My son Srinath was hospitalized with Chikangunya in serious condition. He got a bed in PICU only because on duty doctor put in a word strongly for him. https://t.co/qSujyapUeT",0
32,2021-03-09 23:33:43+00:00,"Zika Virus is within the flavivirus family along with dengue and West Nile. In order to prevent future Zika Virus outbreaks, scientists are diving into research regarding antibodies for the virus. #HPEX353_1 #HDR @HPEX353_1  https://t.co/e8MtYEseO4",0
33,2021-03-09 22:37:38+00:00,Viral evolution sustains a dengue outbreak of enhanced severity https://t.co/ulO0MkHJV9,0
34,2021-03-09 22:06:42+00:00,Viral evolution sustains a dengue outbreak of enhanced severity https://t.co/1b2rpysYGI,0
